mean_test_score,std_test_score,rank_test_score,param_n_estimators,param_max_features,param_max_depth,param_min_samples_split,param_min_samples_leaf
0.9,0.06426141426054612,1,38,0.3,6,3,1
0.8989010989010989,0.0647805008248359,2,38,0.3,7,3,1
0.8985871271585557,0.06216551305197116,3,57,0.2,6,3,1
0.8985086342229198,0.06925087901240708,4,60,0.2,7,3,1
0.8983516483516482,0.07265028983505378,5,57,0.2,7,3,1
0.8978806907378336,0.06278767625462289,6,36,0.3,6,3,1
0.89701726844584,0.06897809841833369,7,38,0.3,6,6,1
0.8967032967032967,0.06523296605901646,8,42,0.3,6,3,1
0.8966248037676611,0.06903880947042866,9,55,0.2,6,3,1
0.8962715855572998,0.0707877911833185,10,40,0.3,7,3,1
0.8959183673469389,0.06834449816179733,11,38,0.3,7,6,1
0.895839874411303,0.06300034891520305,12,40,0.3,6,3,1
0.895839874411303,0.06800750429049841,12,60,0.2,7,4,1
0.8956043956043956,0.07314977306242289,14,53,0.2,6,3,1
0.895094191522763,0.06858544553144584,15,42,0.3,7,3,1
0.8950549450549451,0.07156928882315379,16,53,0.3,7,6,1
0.8948194662480378,0.07259769141195783,17,45,0.3,7,6,1
0.8946624803767662,0.05983025869683937,18,36,0.3,7,3,1
0.8943485086342229,0.06306183218671807,19,60,0.2,6,3,1
0.8941915227629513,0.07263994283262344,20,60,0.1,6,6,2
